cep,logradouro,complemento,unidade,bairro,localidade,uf,estado,regiao,ibge,gia,ddd,siafi
08190-461,Viela Paulista,,,Vila Itaim,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-919,Avenida Paulista,1728,Edifício Ourinvest,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-928,Avenida Paulista,2064,Shopping Center III,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-200,Avenida Paulista,de 1047 a 1865 - lado ímpar,,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-911,Avenida Paulista,960,Edifício Paulicéia,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-946,Avenida Paulista,1374 12 Andar,Banco Pan S.A.,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-927,Avenida Paulista,1471,Edifício Barão de Cristina,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-911,Avenida Paulista,575,Edifício Barão de Ouro Branco.,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-929,Avenida Paulista,2086,Edifício Center Três,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-923,Avenida Paulista,1842,Condomínio Cetenco Plaza - Torre Norte,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-914,Avenida Paulista,777,Edifício Viking,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-923,Avenida Paulista,1313,Edifício Luís Eulálio de Bueno Vidigal Filho,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-932,Avenida Paulista,37 3 Andar Conjunto 31 e 32,Nikon do Brasil Ltda.,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-100,Avenida Paulista,de 611 a 1045 - lado ímpar,,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-913,Avenida Paulista,671,Conjunto Residencial Suíço,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-902,Avenida Paulista,37,Condomínio Edifício Parque Cultural Paulista,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01310-933,Avenida Paulista,2444,Edifício Ouro Verde.,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
01311-922,Avenida Paulista,1195,Edifício Saint Honore,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
